,Unnamed: 0,ano,data_eleicao,id_municipio,nome_urna,sigla_partido,idade,genero,raca,Resultado,nome_candidato,votos
198,198,2024,2024-10-06,2611606,Gil Tércio,PP,44,feminino,parda,Não foi eleito,Gil Tércio,4507.0
199,199,2024,2024-10-06,2611606,Gilberto Alves,PRD,59,masculino,parda,Eleito,Gilberto Alves,4985.0
200,200,2024,2024-10-06,2611606,Gilsinho Resenha Juntos,PRD,51,masculino,parda,Não foi eleito,Gilsinho Resenha Juntos,223.0
201,201,2024,2024-10-06,2611606,Gilson Machado Filho,PL,26,masculino,branca,Eleito,Gilson Machado Filho,16095.0
202,202,2024,2024-10-06,2611606,Giroldo,PSB,64,masculino,preta,Não foi eleito,Giroldo,3506.0
203,203,2024,2024-10-06,2611606,Goretti Queiroz,REPUBLICANOS,63,feminino,branca,Não foi eleito,Goretti Queiroz,3459.0
204,204,2024,2024-10-06,2611606,Gracinha Almeida,PSB,60,feminino,preta,Não foi eleito,Gracinha Almeida,574.0
205,205,2024,2024-10-06,2611606,Graça Vasconcelos Pelo Verde,PV,72,feminino,branca,Não foi eleito,Graça Vasconcelos Pelo Verde,165.0
206,206,2024,2024-10-06,2611606,Guarda Gentileza,MDB,61,masculino,branca,Não foi eleito,Guarda Gentileza,248.0
207,207,2024,2024-10-06,2611606,Guilherme Xisto,REPUBLICANOS,43,masculino,branca,Não foi eleito,Guilherme Xisto,2461.0
208,208,2024,2024-10-06,2611606,Henrique Conde,REPUBLICANOS,69,masculino,branca,Não foi eleito,Henrique Conde,445.0
209,209,2024,2024-10-06,2611606,Henrique Roberto,PRD,38,masculino,parda,Não foi eleito,Henrique Roberto,102.0
210,210,2024,2024-10-06,2611606,Hildeberto Junior,PSD,54,masculino,parda,Não foi eleito,Hildeberto Junior,11.0
211,211,2024,2024-10-06,2611606,Hilton Ribeiro,NOVO,65,masculino,branca,Não foi eleito,Hilton Ribeiro,699.0
212,212,2024,2024-10-06,2611606,Hosana Jane,PP,55,feminino,preta,Não foi eleito,Hosana Jane,129.0
