,local,sigla_partido,EBAIRRNOMEOF,latitude,longitude,RPA,votos
129,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PSOL,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,46
130,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PSTU,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,2
131,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PT,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,170
132,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,PV,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,64
133,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,REDE,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,19
134,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,REPUBLICANOS,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,131
135,ASSOCIAÇÃO DOS FORNECEDORES DE CANA DE PE,SOLIDARIEDADE,IMBIRIBEIRA,-8.1023919,-34.9107612,RPA6,4
136,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,AVANTE,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,152
137,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,CIDADANIA,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,5
138,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,DC,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,139
139,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,MDB,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,110
140,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,MOBILIZA,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,11
141,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,NOVO,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,182
142,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PC do B,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,39
143,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PL,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,189
144,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PP,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,115
145,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PRD,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,95
146,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PSB,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,878
147,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PSD,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,208
148,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PSDB,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,4
149,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PSOL,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,75
150,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PSTU,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,1
151,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PT,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,374
152,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,PV,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,45
153,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,REDE,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,61
154,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,REPUBLICANOS,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,101
155,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,SOLIDARIEDADE,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,5
156,ASSOCIAÇÃO DOS SERVIDORES CLUBE DA SUDENE,UP,ENGENHO DO MEIO,-8.0540027,-34.9414623,RPA4,6
157,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,AVANTE,SAO JOSE,-8.0667271,-34.8836786,RPA1,33
158,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,CIDADANIA,SAO JOSE,-8.0667271,-34.8836786,RPA1,8
159,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,DC,SAO JOSE,-8.0667271,-34.8836786,RPA1,17
160,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,MDB,SAO JOSE,-8.0667271,-34.8836786,RPA1,224
161,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,MOBILIZA,SAO JOSE,-8.0667271,-34.8836786,RPA1,44
162,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,NOVO,SAO JOSE,-8.0667271,-34.8836786,RPA1,44
163,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PC do B,SAO JOSE,-8.0667271,-34.8836786,RPA1,42
164,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PL,SAO JOSE,-8.0667271,-34.8836786,RPA1,172
165,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PP,SAO JOSE,-8.0667271,-34.8836786,RPA1,62
166,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PRD,SAO JOSE,-8.0667271,-34.8836786,RPA1,47
167,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PSB,SAO JOSE,-8.0667271,-34.8836786,RPA1,723
168,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PSD,SAO JOSE,-8.0667271,-34.8836786,RPA1,87
169,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PSDB,SAO JOSE,-8.0667271,-34.8836786,RPA1,2
170,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PSOL,SAO JOSE,-8.0667271,-34.8836786,RPA1,49
171,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PSTU,SAO JOSE,-8.0667271,-34.8836786,RPA1,1
172,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PT,SAO JOSE,-8.0667271,-34.8836786,RPA1,175
173,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,PV,SAO JOSE,-8.0667271,-34.8836786,RPA1,84
174,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,REDE,SAO JOSE,-8.0667271,-34.8836786,RPA1,25
175,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,REPUBLICANOS,SAO JOSE,-8.0667271,-34.8836786,RPA1,107
176,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,SOLIDARIEDADE,SAO JOSE,-8.0667271,-34.8836786,RPA1,1
177,ATI - AGÊNCIA ESTADUAL DE TECNOLOGIA DA INFORMAÇÃO,UP,SAO JOSE,-8.0667271,-34.8836786,RPA1,2
178,CAIC/TORRE-ESCOLA CREUZA BARRETO DORNELAS CÂMARA,AVANTE,TORRE,-8.04485338,-34.91694771,RPA4,53
179,CAIC/TORRE-ESCOLA CREUZA BARRETO DORNELAS CÂMARA,CIDADANIA,TORRE,-8.04485338,-34.91694771,RPA4,4
180,CAIC/TORRE-ESCOLA CREUZA BARRETO DORNELAS CÂMARA,DC,TORRE,-8.04485338,-34.91694771,RPA4,20
